folder_name,elapsed_s,timestamp
BraTS2021_01142,6.95,2026-05-20T21:20:02
BraTS2021_01143,8.49,2026-05-20T21:20:10
BraTS2021_01153,12.86,2026-05-20T21:20:23
BraTS2021_01160,52.19,2026-05-20T21:21:15
BraTS2021_01203,22.35,2026-05-20T21:21:38
BraTS2021_01204,57.24,2026-05-20T21:22:35
BraTS2021_01210,57.69,2026-05-20T21:23:33
BraTS2021_01225,11.76,2026-05-20T21:23:44
BraTS2021_01247,23.07,2026-05-20T21:24:07
BraTS2021_01253,41.34,2026-05-20T21:24:49
BraTS2021_01262,35.55,2026-05-20T21:25:24
BraTS2021_01265,49.2,2026-05-20T21:26:13
BraTS2021_01266,27.1,2026-05-20T21:26:41
BraTS2021_01267,57.94,2026-05-20T21:27:39
BraTS2021_01273,56.38,2026-05-20T21:28:35
BraTS2021_01276,15.14,2026-05-20T21:28:50
BraTS2021_01277,24.79,2026-05-20T21:29:15
BraTS2021_01279,33.9,2026-05-20T21:29:49
BraTS2021_01290,21.23,2026-05-20T21:30:10
BraTS2021_01295,27.85,2026-05-20T21:30:38
BraTS2021_01441,21.33,2026-05-20T21:30:59
BraTS2021_01450,29.82,2026-05-20T21:31:29
BraTS2021_01456,34.17,2026-05-20T21:32:03
BraTS2021_01458,25.43,2026-05-20T21:32:29
BraTS2021_01459,25.08,2026-05-20T21:32:54
BraTS2021_01476,27.86,2026-05-20T21:33:22
BraTS2021_01477,26.41,2026-05-20T21:33:48
BraTS2021_01478,24.84,2026-05-20T21:34:13
BraTS2021_01479,31.65,2026-05-20T21:34:44
BraTS2021_01483,24.18,2026-05-20T21:35:09
BraTS2021_01484,26.29,2026-05-20T21:35:35
BraTS2021_01485,15.62,2026-05-20T21:35:51
BraTS2021_01487,8.86,2026-05-20T21:35:59
BraTS2021_01489,57.71,2026-05-20T21:36:57
BraTS2021_01490,47.63,2026-05-20T21:37:45
BraTS2021_01491,55.78,2026-05-20T21:38:41
BraTS2021_01494,27.17,2026-05-20T21:39:08
BraTS2021_01495,29.61,2026-05-20T21:39:37
BraTS2021_01497,26.06,2026-05-20T21:40:03
BraTS2021_01498,39.06,2026-05-20T21:40:42
BraTS2021_01499,27.85,2026-05-20T21:41:10
BraTS2021_01500,26.91,2026-05-20T21:41:37
BraTS2021_01501,24.92,2026-05-20T21:42:02
BraTS2021_01502,31.27,2026-05-20T21:42:33
BraTS2021_01503,21.98,2026-05-20T21:42:55
BraTS2021_01504,28.53,2026-05-20T21:43:24
BraTS2021_01505,29.51,2026-05-20T21:43:53
BraTS2021_01506,32.71,2026-05-20T21:44:26
BraTS2021_01507,27.73,2026-05-20T21:44:54
BraTS2021_01508,56.5,2026-05-20T21:45:50
BraTS2021_01510,46.32,2026-05-20T21:46:37
BraTS2021_01511,55.45,2026-05-20T21:47:32
BraTS2021_01512,29.08,2026-05-20T21:48:01
BraTS2021_01513,26.6,2026-05-20T21:48:28
BraTS2021_01514,17.73,2026-05-20T21:48:46
BraTS2021_01515,40.05,2026-05-20T21:49:26
BraTS2021_01517,33.16,2026-05-20T21:49:59
